<PATTERN>    , <ID>        , <SOURCE>
Ada          , ada         , ada
ARM		     , arm         , arm
Bash         , bash        , shell
Batch		 , batch       , batchfile
C            , c           , c
C#           , csharp      , cs
Clojure      , clojure     , clojure
COBOL        , cobol       , cobol
C\\+\\+      , cpp         , cpp
Dart         , dart        , dart
Erlang	     , erlang      , erlang
Fortran      , fortran     , fortran.modern
F#           , fsharp      , fsharp
Go           , go          , go
Groovy       , groovy      , groovy
Haskell      , haskell     , haskell
Java         , java        , java
JavaScript   , javascript  , js
Julia        , julia       , julia
Kotlin       , kotlin      , kotlin
Lisp         , lisp        , lisp
Lua          , lua         , lua
MIPS 	     , mips        , mips
Objective-C  , objectivec  , objc
OCaml        , ocaml       , ocaml
Pascal       , pascal      , pascal
Perl         , perl        , perl
PHP          , php         , php
PowerShell   , powershell  , powershell
Python       , python      , python
Python 2     , python2     , python
R            , r           , r
Racket       , racket      , scheme
Ruby         , ruby        , ruby
Rust         , rust        , rust
Scala        , scala       , scala
Scheme       , scheme      , scheme
Swift        , swift       , swift
TypeScript   , typescript  , ts
x86          , x86         , asm.x86_64
VBScript     , vbscript    , vbs
Visual Basic , visualbasic , asp.vb.net