<NAME>       , <ID>        , <SOURCE>
Ada          , ada         , ada
C            , c           , c
C#           , csharp      , cs
Clojure      , clojure     , clojure
COBOL        , cobol       , cobol
C\\+\\+      , cpp         , cpp
Dart         , dart        , dart
Fortran      , fortran     , fortran.free
F#           , fsharp      , fsharp
Go           , go          , go
Groovy       , groovy      , groovy
Haskell      , haskell     , haskell
Java         , java        , java
JavaScript   , javascript  , js
Julia        , julia       , julia
Kotlin       , kotlin      , kotlin
Lisp         , lisp        , lisp
Lua          , lua         , lua
Objective-C  , objectivec  , objc
Pascal       , pascal      , pascal
Perl         , perl        , perl
Perl 6       , perl6       , perl.6
PHP          , php         , php
Prolog       , prolog      , prolog
Python       , python      , python
Python 2     , python2     , python
R            , r           , r
Racket       , racket      , racket
Ruby         , ruby        , ruby
Rust         , rust        , rust
Scala        , scala       , scala
Scheme       , scheme      , scheme
Swift        , swift       , swift
TypeScript   , typescript  , ts
VBScript     , vbs         , vbs
Visual Basic , visualbasic , asp.vb.net